Link,Language,Brand/Product,Analyzer,Age,Gender,Region,Language,Religion,Occupation,Wealth/Income
https://www.youtube.com/watch?v=vzFxTJDRqR8,Telugu,OLX,Srijith,18-60,"M,F","South India, Urban",Telugu,,Trading,Lower/Lower-Middle
https://www.youtube.com/watch?v=zRxh0R8AiiQ,Telugu,PediaSure,Srijith,4-10,"M,F","South India, Urban",Telugu,,Normal child,Upper-Middle/Upper class
https://www.youtube.com/watch?v=K5UNz3GVlcE,Hindi,Cadbury - Radio Ad,Suyash,,Male,North India,Hindustani,,,
https://www.youtube.com/watch?v=NeZXlEIj_kM,Hindi,Dhanya Seeds,Suyash,20-80,"Male, Female",North India - Rural,Hindi,NA,Farmer,Lower class
https://www.youtube.com/watch?v=6X8liku8o-4,Hindi,Enguru,Suyash,50-60,Male,Urban,English,,Company Boss,Upper Class
https://www.youtube.com/watch?v=6X8liku8o-4,Hindi,Enguru,Suyash,40-50,Male,Urban,English,,Employee,Middle Class
https://www.youtube.com/watch?v=a3V3KXDOmoo,English,Forevermark,Suyash,30-40,Female,Urban,English,NA,Doctor,Upper class
https://www.youtube.com/watch?v=NwwyNa4xQsU,English,L'Oreal,Suyash,30-50,Female,Urban,English,NA,Actress,Upper Class
https://www.youtube.com/watch?v=zC04GWZHm44,Hindi,Lenovo,Suyash,40-50,Male,Urban,Hindi,,Cab Driver,Lower Class
https://www.youtube.com/watch?v=zC04GWZHm44,Hindi,Lenovo,Suyash,40-50,Male,Urban,Hindi,,,Lower Class
https://www.youtube.com/watch?v=60cJ-UBrpFI&feature=youtu.be,Hindi,Mirzapur,Suyash,20,Male,Suburban,Hindi,Hindu,Gunda,Lower Class
https://www.youtube.com/watch?v=q6jy-5oi2F0&feature=youtu.be,Hindi,Mirzapur,Suyash,30,Male,City,Hindi,Hindu,IPS Officer,Upper-Middle Class
https://www.youtube.com/watch?v=hMbVKa9gUHA,English,Oppo,Suyash,19-26,Female,Urban,English,NA,Traveller?,Upper Class
